pair,distance,rdf
Ca-O,0.0200,0.000000
Ca-O,0.0600,0.000000
Ca-O,0.1000,0.000000
Ca-O,0.1400,0.000000
Ca-O,0.1800,0.000000
Ca-O,0.2200,0.000000
Ca-O,0.2600,0.000000
Ca-O,0.3000,0.000000
Ca-O,0.3400,0.000000
Ca-O,0.3800,0.000000
Ca-O,0.4200,0.000000
Ca-O,0.4600,0.000000
Ca-O,0.5000,0.000000
Ca-O,0.5400,0.000000
Ca-O,0.5800,0.000000
Ca-O,0.6200,0.000000
Ca-O,0.6600,0.000000
Ca-O,0.7000,0.000000
Ca-O,0.7400,0.000000
Ca-O,0.7800,0.000000
Ca-O,0.8200,0.000000
Ca-O,0.8600,0.000000
Ca-O,0.9000,0.000000
Ca-O,0.9400,0.000000
Ca-O,0.9800,0.000000
Ca-O,1.0200,0.000000
Ca-O,1.0600,0.000000
Ca-O,1.1000,0.000000
Ca-O,1.1400,0.000000
Ca-O,1.1800,0.000000
Ca-O,1.2200,0.000000
Ca-O,1.2600,0.000000
Ca-O,1.3000,0.000000
Ca-O,1.3400,0.000000
Ca-O,1.3800,0.000000
Ca-O,1.4200,0.000000
Ca-O,1.4600,0.000000
Ca-O,1.5000,0.000000
Ca-O,1.5400,0.000000
Ca-O,1.5800,0.000000
Ca-O,1.6200,0.000000
Ca-O,1.6600,0.000000
Ca-O,1.7000,0.000000
Ca-O,1.7400,0.000000
Ca-O,1.7800,0.000000
Ca-O,1.8200,0.000000
Ca-O,1.8600,0.000000
Ca-O,1.9000,0.000000
Ca-O,1.9400,0.000000
Ca-O,1.9800,0.000000
Ca-O,2.0200,0.000000
Ca-O,2.0600,0.000000
Ca-O,2.1000,0.000000
Ca-O,2.1400,0.000000
Ca-O,2.1800,0.000000
Ca-O,2.2200,0.000000
Ca-O,2.2600,0.000000
Ca-O,2.3000,9.389454
Ca-O,2.3400,9.071191
Ca-O,2.3800,0.000000
Ca-O,2.4200,8.481356
Ca-O,2.4600,2.735927
Ca-O,2.5000,7.947234
Ca-O,2.5400,5.132599
Ca-O,2.5800,4.974682
Ca-O,2.6200,0.000000
Ca-O,2.6600,0.000000
Ca-O,2.7000,0.000000
Ca-O,2.7400,4.410661
Ca-O,2.7800,0.000000
Ca-O,2.8200,0.000000
Ca-O,2.8600,0.000000
Ca-O,2.9000,0.000000
Ca-O,2.9400,0.000000
Ca-O,2.9800,0.000000
Ca-O,3.0200,0.000000
Ca-O,3.0600,0.000000
Ca-O,3.1000,0.000000
Ca-O,3.1400,0.000000
Ca-O,3.1800,0.000000
Ca-O,3.2200,0.000000
Ca-O,3.2600,0.000000
Ca-O,3.3000,1.520362
Ca-O,3.3400,0.000000
Ca-O,3.3800,0.000000
Ca-O,3.4200,0.000000
Ca-O,3.4600,0.000000
Ca-O,3.5000,0.000000
Ca-O,3.5400,0.000000
Ca-O,3.5800,1.291840
Ca-O,3.6200,1.263449
Ca-O,3.6600,0.000000
Ca-O,3.7000,0.000000
Ca-O,3.7400,0.000000
Ca-O,3.7800,0.000000
Ca-O,3.8200,0.000000
Ca-O,3.8600,0.000000
Ca-O,3.9000,0.000000
Ca-O,3.9400,0.000000
Ca-O,3.9800,0.000000
Ca-O,4.0200,0.000000
Ca-O,4.0600,0.000000
Ca-O,4.1000,0.000000
Ca-O,4.1400,0.000000
Ca-O,4.1800,0.000000
Ca-O,4.2200,0.000000
Ca-O,4.2600,0.000000
Ca-O,4.3000,0.000000
Ca-O,4.3400,0.000000
Ca-O,4.3800,0.000000
Ca-O,4.4200,0.000000
Ca-O,4.4600,0.000000
Ca-O,4.5000,0.000000
Ca-O,4.5400,0.000000
Ca-O,4.5800,0.000000
Ca-O,4.6200,0.000000
Ca-O,4.6600,0.000000
Ca-O,4.7000,0.749513
Ca-O,4.7400,0.000000
Ca-O,4.7800,0.000000
Ca-O,4.8200,0.712657
Ca-O,4.8600,0.000000
Ca-O,4.9000,0.000000
Ca-O,4.9400,0.000000
Ca-O,4.9800,0.667600
Ca-O,5.0200,0.000000
Ca-O,5.0600,0.000000
Ca-O,5.1000,0.000000
Ca-O,5.1400,0.000000
Ca-O,5.1800,1.851128
Ca-O,5.2200,0.000000
Ca-O,5.2600,0.000000
Ca-O,5.3000,0.000000
Ca-O,5.3400,0.000000
Ca-O,5.3800,1.144037
Ca-O,5.4200,0.000000
Ca-O,5.4600,0.000000
Ca-O,5.5000,0.000000
Ca-O,5.5400,0.000000
Ca-O,5.5800,1.063497
Ca-O,5.6200,0.000000
Ca-O,5.6600,1.033646
Ca-O,5.7000,0.000000
Ca-O,5.7400,0.000000
Ca-O,5.7800,0.000000
Ca-O,5.8200,0.000000
Ca-O,5.8600,0.000000
Ca-O,5.9000,0.000000
Ca-O,5.9400,0.000000
Ca-O,5.9800,0.000000
Ca-O,6.0200,0.000000
Ca-O,6.0600,0.000000
Ca-O,6.1000,0.000000
Ca-O,6.1400,0.000000
Ca-O,6.1800,0.000000
Ca-O,6.2200,0.000000
Ca-O,6.2600,0.000000
Ca-O,6.3000,0.000000
Ca-O,6.3400,0.000000
Ca-O,6.3800,0.000000
Ca-O,6.4200,0.000000
Ca-O,6.4600,0.000000
Ca-O,6.5000,0.000000
Ca-O,6.5400,0.774193
Ca-O,6.5800,0.764809
Ca-O,6.6200,0.000000
Ca-O,6.6600,0.000000
Ca-O,6.7000,0.000000
Ca-O,6.7400,0.000000
Ca-O,6.7800,0.000000
Ca-O,6.8200,0.000000
Ca-O,6.8600,0.000000
Ca-O,6.9000,0.000000
Ca-O,6.9400,0.343760
Ca-O,6.9800,0.000000
Ca-O,7.0200,0.000000
Ca-O,7.0600,0.000000
Ca-O,7.1000,0.328442
Ca-O,7.1400,0.000000
Ca-O,7.1800,0.000000
Ca-O,7.2200,0.000000
Ca-O,7.2600,0.000000
Ca-O,7.3000,0.310691
Ca-O,7.3400,0.000000
Ca-O,7.3800,0.000000
Ca-O,7.4200,0.000000
Ca-O,7.4600,0.000000
Ca-O,7.5000,0.000000
Ca-O,7.5400,0.000000
Ca-O,7.5800,0.000000
Ca-O,7.6200,0.000000
Ca-O,7.6600,0.000000
Ca-O,7.7000,0.000000
Ca-O,7.7400,0.000000
Ca-O,7.7800,0.000000
Ca-O,7.8200,0.000000
Ca-O,7.8600,0.000000
Ca-O,7.9000,0.000000
Ca-O,7.9400,0.000000
Ca-O,7.9800,0.000000
Si-O,0.0200,0.000000
Si-O,0.0600,0.000000
Si-O,0.1000,0.000000
Si-O,0.1400,0.000000
Si-O,0.1800,0.000000
Si-O,0.2200,0.000000
Si-O,0.2600,0.000000
Si-O,0.3000,0.000000
Si-O,0.3400,0.000000
Si-O,0.3800,0.000000
Si-O,0.4200,0.000000
Si-O,0.4600,0.000000
Si-O,0.5000,0.000000
Si-O,0.5400,0.000000
Si-O,0.5800,0.000000
Si-O,0.6200,0.000000
Si-O,0.6600,0.000000
Si-O,0.7000,0.000000
Si-O,0.7400,0.000000
Si-O,0.7800,0.000000
Si-O,0.8200,0.000000
Si-O,0.8600,0.000000
Si-O,0.9000,0.000000
Si-O,0.9400,0.000000
Si-O,0.9800,0.000000
Si-O,1.0200,0.000000
Si-O,1.0600,0.000000
Si-O,1.1000,0.000000
Si-O,1.1400,0.000000
Si-O,1.1800,0.000000
Si-O,1.2200,0.000000
Si-O,1.2600,0.000000
Si-O,1.3000,0.000000
Si-O,1.3400,0.000000
Si-O,1.3800,0.000000
Si-O,1.4200,0.000000
Si-O,1.4600,0.000000
Si-O,1.5000,0.000000
Si-O,1.5400,0.000000
Si-O,1.5800,0.000000
Si-O,1.6200,12.617542
Si-O,1.6600,54.075570
Si-O,1.7000,5.728975
Si-O,1.7400,0.000000
Si-O,1.7800,0.000000
Si-O,1.8200,0.000000
Si-O,1.8600,0.000000
Si-O,1.9000,0.000000
Si-O,1.9400,0.000000
Si-O,1.9800,0.000000
Si-O,2.0200,0.000000
Si-O,2.0600,0.000000
Si-O,2.1000,0.000000
Si-O,2.1400,0.000000
Si-O,2.1800,0.000000
Si-O,2.2200,0.000000
Si-O,2.2600,0.000000
Si-O,2.3000,0.000000
Si-O,2.3400,0.000000
Si-O,2.3800,0.000000
Si-O,2.4200,0.000000
Si-O,2.4600,0.000000
Si-O,2.5000,0.000000
Si-O,2.5400,0.000000
Si-O,2.5800,0.000000
Si-O,2.6200,0.000000
Si-O,2.6600,0.000000
Si-O,2.7000,0.000000
Si-O,2.7400,0.000000
Si-O,2.7800,0.000000
Si-O,2.8200,0.000000
Si-O,2.8600,0.000000
Si-O,2.9000,0.000000
Si-O,2.9400,0.000000
Si-O,2.9800,0.000000
Si-O,3.0200,0.000000
Si-O,3.0600,0.000000
Si-O,3.1000,0.000000
Si-O,3.1400,0.000000
Si-O,3.1800,0.000000
Si-O,3.2200,0.000000
Si-O,3.2600,0.000000
Si-O,3.3000,0.000000
Si-O,3.3400,0.000000
Si-O,3.3800,0.000000
Si-O,3.4200,0.000000
Si-O,3.4600,0.000000
Si-O,3.5000,0.000000
Si-O,3.5400,0.000000
Si-O,3.5800,0.000000
Si-O,3.6200,0.000000
Si-O,3.6600,0.000000
Si-O,3.7000,0.000000
Si-O,3.7400,0.000000
Si-O,3.7800,0.000000
Si-O,3.8200,1.134614
Si-O,3.8600,0.000000
Si-O,3.9000,0.000000
Si-O,3.9400,1.066553
Si-O,3.9800,0.000000
Si-O,4.0200,0.000000
Si-O,4.0600,1.004437
Si-O,4.1000,0.984934
Si-O,4.1400,0.965993
Si-O,4.1800,0.000000
Si-O,4.2200,0.000000
Si-O,4.2600,0.000000
Si-O,4.3000,0.000000
Si-O,4.3400,0.000000
Si-O,4.3800,0.000000
Si-O,4.4200,0.000000
Si-O,4.4600,0.000000
Si-O,4.5000,0.000000
Si-O,4.5400,0.000000
Si-O,4.5800,0.000000
Si-O,4.6200,0.000000
Si-O,4.6600,0.000000
Si-O,4.7000,0.000000
Si-O,4.7400,0.000000
Si-O,4.7800,0.000000
Si-O,4.8200,0.000000
Si-O,4.8600,0.000000
Si-O,4.9000,0.000000
Si-O,4.9400,0.000000
Si-O,4.9800,0.000000
Si-O,5.0200,0.000000
Si-O,5.0600,0.000000
Si-O,5.1000,0.000000
Si-O,5.1400,1.880052
Si-O,5.1800,0.000000
Si-O,5.2200,0.000000
Si-O,5.2600,0.000000
Si-O,5.3000,0.000000
Si-O,5.3400,0.000000
Si-O,5.3800,0.000000
Si-O,5.4200,0.000000
Si-O,5.4600,0.000000
Si-O,5.5000,0.000000
Si-O,5.5400,0.000000
Si-O,5.5800,0.000000
Si-O,5.6200,0.000000
Si-O,5.6600,0.000000
Si-O,5.7000,0.000000
Si-O,5.7400,0.000000
Si-O,5.7800,0.000000
Si-O,5.8200,0.000000
Si-O,5.8600,0.000000
Si-O,5.9000,0.000000
Si-O,5.9400,0.000000
Si-O,5.9800,0.000000
Si-O,6.0200,1.370576
Si-O,6.0600,1.352542
Si-O,6.1000,0.000000
Si-O,6.1400,0.000000
Si-O,6.1800,0.000000
Si-O,6.2200,0.000000
Si-O,6.2600,1.267498
Si-O,6.3000,0.000000
Si-O,6.3400,0.000000
Si-O,6.3800,0.000000
Si-O,6.4200,1.205108
Si-O,6.4600,0.000000
Si-O,6.5000,1.175626
Si-O,6.5400,0.000000
Si-O,6.5800,0.000000
Si-O,6.6200,0.000000
Si-O,6.6600,0.000000
Si-O,6.7000,0.000000
Si-O,6.7400,0.000000
Si-O,6.7800,0.000000
Si-O,6.8200,0.000000
Si-O,6.8600,0.000000
Si-O,6.9000,0.000000
Si-O,6.9400,0.000000
Si-O,6.9800,0.000000
Si-O,7.0200,0.000000
Si-O,7.0600,0.000000
Si-O,7.1000,0.328442
Si-O,7.1400,0.000000
Si-O,7.1800,0.000000
Si-O,7.2200,0.000000
Si-O,7.2600,0.314124
Si-O,7.3000,0.000000
Si-O,7.3400,0.000000
Si-O,7.3800,0.303992
Si-O,7.4200,0.000000
Si-O,7.4600,0.000000
Si-O,7.5000,0.000000
Si-O,7.5400,0.000000
Si-O,7.5800,0.000000
Si-O,7.6200,0.000000
Si-O,7.6600,0.000000
Si-O,7.7000,0.000000
Si-O,7.7400,0.000000
Si-O,7.7800,0.000000
Si-O,7.8200,0.000000
Si-O,7.8600,0.000000
Si-O,7.9000,0.000000
Si-O,7.9400,0.000000
Si-O,7.9800,0.000000
Ca-Ca,0.0200,0.000000
Ca-Ca,0.0600,0.000000
Ca-Ca,0.1000,0.000000
Ca-Ca,0.1400,0.000000
Ca-Ca,0.1800,0.000000
Ca-Ca,0.2200,0.000000
Ca-Ca,0.2600,0.000000
Ca-Ca,0.3000,0.000000
Ca-Ca,0.3400,0.000000
Ca-Ca,0.3800,0.000000
Ca-Ca,0.4200,0.000000
Ca-Ca,0.4600,0.000000
Ca-Ca,0.5000,0.000000
Ca-Ca,0.5400,0.000000
Ca-Ca,0.5800,0.000000
Ca-Ca,0.6200,0.000000
Ca-Ca,0.6600,0.000000
Ca-Ca,0.7000,0.000000
Ca-Ca,0.7400,0.000000
Ca-Ca,0.7800,0.000000
Ca-Ca,0.8200,0.000000
Ca-Ca,0.8600,0.000000
Ca-Ca,0.9000,0.000000
Ca-Ca,0.9400,0.000000
Ca-Ca,0.9800,0.000000
Ca-Ca,1.0200,0.000000
Ca-Ca,1.0600,0.000000
Ca-Ca,1.1000,0.000000
Ca-Ca,1.1400,0.000000
Ca-Ca,1.1800,0.000000
Ca-Ca,1.2200,0.000000
Ca-Ca,1.2600,0.000000
Ca-Ca,1.3000,0.000000
Ca-Ca,1.3400,0.000000
Ca-Ca,1.3800,0.000000
Ca-Ca,1.4200,0.000000
Ca-Ca,1.4600,0.000000
Ca-Ca,1.5000,0.000000
Ca-Ca,1.5400,0.000000
Ca-Ca,1.5800,0.000000
Ca-Ca,1.6200,0.000000
Ca-Ca,1.6600,0.000000
Ca-Ca,1.7000,0.000000
Ca-Ca,1.7400,0.000000
Ca-Ca,1.7800,0.000000
Ca-Ca,1.8200,0.000000
Ca-Ca,1.8600,0.000000
Ca-Ca,1.9000,0.000000
Ca-Ca,1.9400,0.000000
Ca-Ca,1.9800,0.000000
Ca-Ca,2.0200,0.000000
Ca-Ca,2.0600,0.000000
Ca-Ca,2.1000,0.000000
Ca-Ca,2.1400,0.000000
Ca-Ca,2.1800,0.000000
Ca-Ca,2.2200,0.000000
Ca-Ca,2.2600,0.000000
Ca-Ca,2.3000,0.000000
Ca-Ca,2.3400,0.000000
Ca-Ca,2.3800,0.000000
Ca-Ca,2.4200,0.000000
Ca-Ca,2.4600,0.000000
Ca-Ca,2.5000,0.000000
Ca-Ca,2.5400,0.000000
Ca-Ca,2.5800,0.000000
Ca-Ca,2.6200,0.000000
Ca-Ca,2.6600,0.000000
Ca-Ca,2.7000,0.000000
Ca-Ca,2.7400,0.000000
Ca-Ca,2.7800,0.000000
Ca-Ca,2.8200,0.000000
Ca-Ca,2.8600,0.000000
Ca-Ca,2.9000,0.000000
Ca-Ca,2.9400,0.000000
Ca-Ca,2.9800,0.000000
Ca-Ca,3.0200,0.000000
Ca-Ca,3.0600,0.000000
Ca-Ca,3.1000,0.000000
Ca-Ca,3.1400,0.000000
Ca-Ca,3.1800,0.000000
Ca-Ca,3.2200,0.000000
Ca-Ca,3.2600,0.000000
Ca-Ca,3.3000,10.135744
Ca-Ca,3.3400,4.947213
Ca-Ca,3.3800,9.661624
Ca-Ca,3.4200,0.000000
Ca-Ca,3.4600,0.000000
Ca-Ca,3.5000,9.010470
Ca-Ca,3.5400,0.000000
Ca-Ca,3.5800,0.000000
Ca-Ca,3.6200,0.000000
Ca-Ca,3.6600,8.239889
Ca-Ca,3.7000,0.000000
Ca-Ca,3.7400,0.000000
Ca-Ca,3.7800,0.000000
Ca-Ca,3.8200,0.000000
Ca-Ca,3.8600,0.000000
Ca-Ca,3.9000,0.000000
Ca-Ca,3.9400,0.000000
Ca-Ca,3.9800,0.000000
Ca-Ca,4.0200,0.000000
Ca-Ca,4.0600,0.000000
Ca-Ca,4.1000,0.000000
Ca-Ca,4.1400,0.000000
Ca-Ca,4.1800,0.000000
Ca-Ca,4.2200,0.000000
Ca-Ca,4.2600,0.000000
Ca-Ca,4.3000,0.000000
Ca-Ca,4.3400,0.000000
Ca-Ca,4.3800,0.000000
Ca-Ca,4.4200,0.000000
Ca-Ca,4.4600,0.000000
Ca-Ca,4.5000,0.000000
Ca-Ca,4.5400,0.000000
Ca-Ca,4.5800,0.000000
Ca-Ca,4.6200,0.000000
Ca-Ca,4.6600,0.000000
Ca-Ca,4.7000,0.000000
Ca-Ca,4.7400,0.000000
Ca-Ca,4.7800,0.000000
Ca-Ca,4.8200,0.000000
Ca-Ca,4.8600,0.000000
Ca-Ca,4.9000,0.000000
Ca-Ca,4.9400,0.000000
Ca-Ca,4.9800,0.000000
Ca-Ca,5.0200,0.000000
Ca-Ca,5.0600,0.000000
Ca-Ca,5.1000,0.000000
Ca-Ca,5.1400,0.000000
Ca-Ca,5.1800,0.000000
Ca-Ca,5.2200,0.000000
Ca-Ca,5.2600,0.000000
Ca-Ca,5.3000,0.000000
Ca-Ca,5.3400,0.000000
Ca-Ca,5.3800,0.000000
Ca-Ca,5.4200,0.000000
Ca-Ca,5.4600,0.000000
Ca-Ca,5.5000,0.000000
Ca-Ca,5.5400,0.000000
Ca-Ca,5.5800,0.000000
Ca-Ca,5.6200,0.000000
Ca-Ca,5.6600,0.000000
Ca-Ca,5.7000,1.698650
Ca-Ca,5.7400,0.000000
Ca-Ca,5.7800,0.000000
Ca-Ca,5.8200,0.000000
Ca-Ca,5.8600,0.000000
Ca-Ca,5.9000,0.000000
Ca-Ca,5.9400,0.000000
Ca-Ca,5.9800,1.543303
Ca-Ca,6.0200,0.000000
Ca-Ca,6.0600,0.000000
Ca-Ca,6.1000,0.000000
Ca-Ca,6.1400,0.000000
Ca-Ca,6.1800,0.000000
Ca-Ca,6.2200,0.000000
Ca-Ca,6.2600,0.000000
Ca-Ca,6.3000,0.000000
Ca-Ca,6.3400,0.000000
Ca-Ca,6.3800,0.000000
Ca-Ca,6.4200,0.000000
Ca-Ca,6.4600,0.000000
Ca-Ca,6.5000,0.000000
Ca-Ca,6.5400,0.000000
Ca-Ca,6.5800,0.000000
Ca-Ca,6.6200,0.000000
Ca-Ca,6.6600,0.000000
Ca-Ca,6.7000,0.000000
Ca-Ca,6.7400,0.000000
Ca-Ca,6.7800,0.000000
Ca-Ca,6.8200,0.000000
Ca-Ca,6.8600,0.000000
Ca-Ca,6.9000,0.000000
Ca-Ca,6.9400,0.000000
Ca-Ca,6.9800,0.000000
Ca-Ca,7.0200,0.000000
Ca-Ca,7.0600,0.000000
Ca-Ca,7.1000,0.000000
Ca-Ca,7.1400,0.000000
Ca-Ca,7.1800,0.000000
Ca-Ca,7.2200,0.000000
Ca-Ca,7.2600,0.000000
Ca-Ca,7.3000,0.000000
Ca-Ca,7.3400,0.000000
Ca-Ca,7.3800,0.000000
Ca-Ca,7.4200,0.000000
Ca-Ca,7.4600,0.000000
Ca-Ca,7.5000,0.000000
Ca-Ca,7.5400,0.000000
Ca-Ca,7.5800,0.000000
Ca-Ca,7.6200,0.000000
Ca-Ca,7.6600,0.000000
Ca-Ca,7.7000,0.000000
Ca-Ca,7.7400,0.000000
Ca-Ca,7.7800,0.000000
Ca-Ca,7.8200,0.000000
Ca-Ca,7.8600,0.000000
Ca-Ca,7.9000,0.000000
Ca-Ca,7.9400,0.000000
Ca-Ca,7.9800,0.000000
O-O,0.0200,0.000000
O-O,0.0600,0.000000
O-O,0.1000,0.000000
O-O,0.1400,0.000000
O-O,0.1800,0.000000
O-O,0.2200,0.000000
O-O,0.2600,0.000000
O-O,0.3000,0.000000
O-O,0.3400,0.000000
O-O,0.3800,0.000000
O-O,0.4200,0.000000
O-O,0.4600,0.000000
O-O,0.5000,0.000000
O-O,0.5400,0.000000
O-O,0.5800,0.000000
O-O,0.6200,0.000000
O-O,0.6600,0.000000
O-O,0.7000,0.000000
O-O,0.7400,0.000000
O-O,0.7800,0.000000
O-O,0.8200,0.000000
O-O,0.8600,0.000000
O-O,0.9000,0.000000
O-O,0.9400,0.000000
O-O,0.9800,0.000000
O-O,1.0200,0.000000
O-O,1.0600,0.000000
O-O,1.1000,0.000000
O-O,1.1400,0.000000
O-O,1.1800,0.000000
O-O,1.2200,0.000000
O-O,1.2600,0.000000
O-O,1.3000,0.000000
O-O,1.3400,0.000000
O-O,1.3800,0.000000
O-O,1.4200,0.000000
O-O,1.4600,0.000000
O-O,1.5000,0.000000
O-O,1.5400,0.000000
O-O,1.5800,0.000000
O-O,1.6200,0.000000
O-O,1.6600,0.000000
O-O,1.7000,0.000000
O-O,1.7400,0.000000
O-O,1.7800,0.000000
O-O,1.8200,0.000000
O-O,1.8600,0.000000
O-O,1.9000,0.000000
O-O,1.9400,0.000000
O-O,1.9800,0.000000
O-O,2.0200,0.000000
O-O,2.0600,0.000000
O-O,2.1000,0.000000
O-O,2.1400,0.000000
O-O,2.1800,0.000000
O-O,2.2200,0.000000
O-O,2.2600,0.000000
O-O,2.3000,0.000000
O-O,2.3400,0.000000
O-O,2.3800,0.000000
O-O,2.4200,0.000000
O-O,2.4600,1.094371
O-O,2.5000,0.000000
O-O,2.5400,0.000000
O-O,2.5800,0.000000
O-O,2.6200,0.000000
O-O,2.6600,8.423916
O-O,2.7000,5.450778
O-O,2.7400,2.646396
O-O,2.7800,0.000000
O-O,2.8200,0.000000
O-O,2.8600,7.286940
O-O,2.9000,0.000000
O-O,2.9400,0.000000
O-O,2.9800,2.237296
O-O,3.0200,0.000000
O-O,3.0600,2.121843
O-O,3.1000,0.000000
O-O,3.1400,0.000000
O-O,3.1800,1.964725
O-O,3.2200,2.554954
O-O,3.2600,0.000000
O-O,3.3000,0.608145
O-O,3.3400,0.000000
O-O,3.3800,0.000000
O-O,3.4200,0.000000
O-O,3.4600,0.000000
O-O,3.5000,0.000000
O-O,3.5400,1.585439
O-O,3.5800,0.000000
O-O,3.6200,0.000000
O-O,3.6600,0.000000
O-O,3.7000,1.451285
O-O,3.7400,0.000000
O-O,3.7800,0.000000
O-O,3.8200,0.000000
O-O,3.8600,0.000000
O-O,3.9000,0.000000
O-O,3.9400,0.000000
O-O,3.9800,1.254267
O-O,4.0200,0.000000
O-O,4.0600,0.000000
O-O,4.1000,0.000000
O-O,4.1400,0.000000
O-O,4.1800,0.000000
O-O,4.2200,0.000000
O-O,4.2600,0.000000
O-O,4.3000,0.000000
O-O,4.3400,0.000000
O-O,4.3800,0.000000
O-O,4.4200,0.000000
O-O,4.4600,1.997636
O-O,4.5000,0.000000
O-O,4.5400,0.000000
O-O,4.5800,0.000000
O-O,4.6200,0.000000
O-O,4.6600,0.000000
O-O,4.7000,0.000000
O-O,4.7400,0.000000
O-O,4.7800,0.000000
O-O,4.8200,0.000000
O-O,4.8600,0.841169
O-O,4.9000,0.827492
O-O,4.9400,0.000000
O-O,4.9800,0.000000
O-O,5.0200,0.788404
O-O,5.0600,0.000000
O-O,5.1000,0.000000
O-O,5.1400,0.000000
O-O,5.1800,0.000000
O-O,5.2200,0.000000
O-O,5.2600,0.000000
O-O,5.3000,0.000000
O-O,5.3400,0.000000
O-O,5.3800,0.000000
O-O,5.4200,0.225443
O-O,5.4600,0.000000
O-O,5.5000,0.000000
O-O,5.5400,0.000000
O-O,5.5800,0.000000
O-O,5.6200,0.000000
O-O,5.6600,1.447105
O-O,5.7000,0.611514
O-O,5.7400,0.000000
O-O,5.7800,0.198234
O-O,5.8200,0.000000
O-O,5.8600,0.000000
O-O,5.9000,0.000000
O-O,5.9400,0.000000
O-O,5.9800,0.000000
O-O,6.0200,0.000000
O-O,6.0600,0.000000
O-O,6.1000,0.000000
O-O,6.1400,0.000000
O-O,6.1800,0.000000
O-O,6.2200,0.000000
O-O,6.2600,0.506999
O-O,6.3000,0.000000
O-O,6.3400,0.000000
O-O,6.3800,0.000000
O-O,6.4200,0.000000
O-O,6.4600,0.000000
O-O,6.5000,0.156750
O-O,6.5400,0.000000
O-O,6.5800,0.000000
O-O,6.6200,0.000000
O-O,6.6600,0.000000
O-O,6.7000,0.000000
O-O,6.7400,0.000000
O-O,6.7800,0.000000
O-O,6.8200,0.427157
O-O,6.8600,0.000000
O-O,6.9000,0.000000
O-O,6.9400,0.000000
O-O,6.9800,0.000000
O-O,7.0200,0.000000
O-O,7.0600,0.000000
O-O,7.1000,0.000000
O-O,7.1400,0.000000
O-O,7.1800,0.000000
O-O,7.2200,0.000000
O-O,7.2600,0.000000
O-O,7.3000,0.000000
O-O,7.3400,0.000000
O-O,7.3800,0.000000
O-O,7.4200,0.000000
O-O,7.4600,0.000000
O-O,7.5000,0.353210
O-O,7.5400,0.000000
O-O,7.5800,0.000000
O-O,7.6200,0.342173
O-O,7.6600,0.000000
O-O,7.7000,0.000000
O-O,7.7400,0.000000
O-O,7.7800,0.000000
O-O,7.8200,0.324895
O-O,7.8600,0.107199
O-O,7.9000,0.000000
O-O,7.9400,0.000000
O-O,7.9800,0.000000
